Greg's Chicago Style Pizza	328962147169087937_16956035	Greg's Chicago Style Pizza	0.009101418843336378	jessicaallen9	http://distilleryimage5.s3.amazonaws.com/596b4492333e11e287a122000a9f13ec_7.jpg	1.353435365E9	Nutella and strawberries crepe #breakfastofchamps	37.868106842	-122.258949279
Viceroy Restaurant	329019179690708234_53184178	Viceroy Restaurant	0.004953039349461328	soyalison	http://distilleryimage2.s3.amazonaws.com/2dd14ed4334e11e2a2ab22000a1fb84b_7.jpg	1.353442164E9	Berkeley!! 🐻🐻	37.871894836	-122.268333435
Brazil Cafe	329021423743615517_27308791	Brazil Cafe	0.0	rachellilyy	http://distilleryimage5.s3.amazonaws.com/cd45529e334e11e2bbd822000a9f15da_7.jpg	1.353442431E9	It's been too long 😊🍴	37.8724907	-122.26826
Tacubaya	329146802156644637_16970041	Tacubaya	0.00819803540092489	hapaliciousss	http://distilleryimage5.s3.amazonaws.com/99f1aec4337111e2839c123138190d76_7.jpg	1.353457378E9	He's my boyfrweeeeeend. #4thstreet #berkeley #emeryville #shopping #instagood #fashion	37.869237477	-122.300533947
Cafe Durant	329182895907264102_39568060	Cafe Durant	0.0	amyvyphan	http://distilleryimage6.s3.amazonaws.com/9e8d3cfa337b11e2a5d322000a1f90e5_7.jpg	1.35346168E9	None	37.868052	-122.258291
Shogun of Berkeley	329789011139559513_31234927	Shogun of Berkeley	0.0047996342365361315	jenunza	http://distilleryimage9.s3.amazonaws.com/d9a165c0342311e2a443123138191f3c_7.jpg	1.353533935E9	#shotsiegorman #sacredrosetattoo	37.8710386	-122.2768934
Sam's Cafe Kabob	329791954860345915_12428809	Sam's Cafe Kabob	0.009067190740060871	bhaberl	http://distilleryimage3.s3.amazonaws.com/aacc7ad6342411e2b0c912313d31f28c_7.jpg	1.353534286E9	drinking and playing cards against humanity at work #happythanksgiving	37.870815277	-122.270606994
Pho K and K	329988139083161215_29677358	Pho K and K	0.008505588139027112	kakesflores	http://distilleryimage7.s3.amazonaws.com/1e85c622345b11e2ad5812313804ecd1_7.jpg	1.353557673E9	My hoes for life 👭👭 @irahrubies @leezuhl @toriirene @ramonainparadise	37.864498138	-122.258331298
Original Mels	330015272959244203_22808100	Original Mels	0.0021291767264242415	itsguuud_	http://distilleryimage7.s3.amazonaws.com/a6817204346211e29a1922000a9d0dee_7.jpg	1.353560907E9	3/4 of the #ragefamily 💛	37.868629455	-122.267913818
Fin's Restaurant	330015272959244203_22808100	Fin's Restaurant	0.008575763530272097	itsguuud_	http://distilleryimage7.s3.amazonaws.com/a6817204346211e29a1922000a9d0dee_7.jpg	1.353560907E9	3/4 of the #ragefamily 💛	37.868629455	-122.267913818
